City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
224,Bredasdorp,ZA,2022-03-12 23:22:44,-34.5322,20.0403,63.72,82,38,4.61
225,Nikolskoye,RU,2022-03-12 23:22:45,59.7035,30.7861,31.8,95,100,4.81
226,Ishigaki,JP,2022-03-12 23:23:45,24.3448,124.1572,69.93,78,40,2.3
227,Sitka,US,2022-03-12 23:23:46,57.0531,-135.33,44.49,70,40,0.0
228,Vredendal,ZA,2022-03-12 23:23:46,-31.6683,18.5012,69.01,74,72,6.85
229,Asau,RO,2022-03-12 23:23:47,46.4333,26.4,29.95,63,99,3.96
230,Naze,JP,2022-03-12 23:23:47,28.3667,129.4833,67.12,79,4,9.46
231,Namatanai,PG,2022-03-12 23:23:48,-3.6667,152.4333,83.77,67,69,5.93
232,Wanaka,NZ,2022-03-12 23:23:48,-44.7,169.15,62.11,65,46,1.01
233,Shatsk,RU,2022-03-12 23:23:48,54.0258,41.7119,4.39,99,69,3.02
234,Congleton,GB,2022-03-12 23:23:49,53.1631,-2.2125,49.48,80,100,11.99
235,Peniche,PT,2022-03-12 23:23:50,39.3558,-9.3811,54.1,92,97,15.3
236,Romitan,UZ,2022-03-12 23:23:50,39.9343,64.3814,55.35,82,20,13.8
237,Jijiga,ET,2022-03-12 23:23:50,9.35,42.8,65.5,56,68,1.7
238,Pevek,RU,2022-03-12 23:23:51,69.7008,170.3133,-8.91,100,100,2.01
239,Araouane,ML,2022-03-12 23:23:52,18.9048,-3.5265,72.0,10,0,10.4
240,Portland,US,2022-03-12 23:21:24,45.5234,-122.6762,56.89,74,100,11.5
241,Faanui,PF,2022-03-12 23:23:52,-16.4833,-151.75,81.84,70,35,11.83
242,Marawi,PH,2022-03-12 23:23:53,7.9986,124.2928,71.15,91,99,1.57
243,Lavrentiya,RU,2022-03-12 23:23:53,65.5833,-171.0,14.11,73,2,6.53
244,Nola,IT,2022-03-12 23:23:54,40.922,14.5329,46.92,45,99,5.44
245,Sungaipenuh,ID,2022-03-12 23:23:54,-2.0833,101.3833,64.9,97,95,1.39
246,Carndonagh,IE,2022-03-12 23:23:55,55.25,-7.2667,43.68,94,100,18.86
247,Cherskiy,RU,2022-03-12 23:23:55,68.75,161.3,-7.6,99,100,3.18
248,Ekhabi,RU,2022-03-12 23:23:56,53.5102,142.9671,18.54,92,100,4.09
249,Inirida,CO,2022-03-12 23:23:57,3.8653,-67.9239,75.83,96,100,3.29
250,Piet Retief,ZA,2022-03-12 23:23:57,-27.0071,30.8132,56.86,99,12,2.08
251,Yenagoa,NG,2022-03-12 23:23:58,4.9247,6.2642,78.57,88,89,6.02
252,San Policarpo,PH,2022-03-12 23:23:58,12.1791,125.5072,80.29,84,44,8.66
253,Eldoret,KE,2022-03-12 23:23:59,0.5204,35.2699,57.7,43,100,8.75
254,Kamenka,RU,2022-03-12 23:23:59,51.3223,42.7678,0.57,99,100,2.84
255,Kavieng,PG,2022-03-12 23:24:00,-2.5744,150.7967,84.27,69,92,9.66
256,Talavera De La Reina,ES,2022-03-12 23:24:01,39.9635,-4.8308,48.69,95,100,8.03
257,Grand Gaube,MU,2022-03-12 23:24:01,-20.0064,57.6608,79.38,86,67,3.0
258,Praya,CV,2022-03-12 23:19:37,14.9215,-23.5087,72.14,64,10,21.85
259,Launceston,AU,2022-03-12 23:19:42,-41.45,147.1667,68.14,72,78,5.75
260,Chokurdakh,RU,2022-03-12 23:24:02,70.6333,147.9167,-21.21,99,98,1.83
261,Burns Lake,CA,2022-03-12 23:24:03,54.2331,-125.7533,42.22,56,89,1.59
262,Kruisfontein,ZA,2022-03-12 23:24:03,-34.0033,24.7314,72.61,71,50,17.27
263,Avarua,CK,2022-03-12 23:24:04,-21.2078,-159.775,84.25,79,20,8.05
264,La Ronge,CA,2022-03-12 23:24:05,55.1001,-105.2842,19.65,58,75,11.5
265,Maniitsoq,GL,2022-03-12 23:24:05,65.4167,-52.9,0.72,97,100,10.89
266,Port-Gentil,GA,2022-03-12 23:19:10,-0.7193,8.7815,81.25,78,97,3.47
267,Gornopravdinsk,RU,2022-03-12 23:24:06,60.05,69.9,-8.5,100,88,5.23
268,Pedasi,PA,2022-03-12 23:24:06,7.5333,-80.0333,81.07,73,5,6.96
269,Clonakilty,IE,2022-03-12 23:24:07,51.6231,-8.8706,47.08,90,90,35.08
270,Terrace,CA,2022-03-12 23:24:07,54.5163,-128.6035,44.51,75,75,3.44
271,Gorom-Gorom,BF,2022-03-12 23:24:08,14.4439,-0.2361,83.84,15,32,10.25
272,Yar-Sale,RU,2022-03-12 23:25:09,66.8333,70.8333,8.98,95,100,10.54
273,Roxana,CR,2022-03-12 23:25:09,10.2753,-83.7513,79.03,81,82,3.38
274,Bom Jesus,BR,2022-03-12 23:25:10,-9.0744,-44.3586,76.98,68,99,2.17
275,Melville,US,2022-03-12 23:25:10,40.7934,-73.4151,25.59,79,100,17.27
276,Port Elizabeth,ZA,2022-03-12 23:25:11,-33.918,25.5701,71.89,78,0,8.05
277,Shonguy,RU,2022-03-12 23:25:11,68.7526,33.146,24.87,93,75,0.0
278,Salinas,US,2022-03-12 23:21:15,36.6777,-121.6555,72.0,54,0,11.5
279,Khash,IR,2022-03-12 23:25:12,28.2211,61.2158,64.89,34,27,4.85
280,Kirkland Lake,CA,2022-03-12 23:20:52,48.1446,-80.0377,12.49,62,100,14.36
281,Tessalit,ML,2022-03-12 23:25:13,20.1986,1.0114,72.93,11,0,8.86
282,Kosikha,RU,2022-03-12 23:25:13,53.3617,84.5822,-3.77,88,72,8.95
283,Aksu,CN,2022-03-12 23:25:14,41.1231,80.2644,52.65,26,100,4.97
284,Adrar,MR,2022-03-12 23:25:14,20.5022,-10.0711,69.26,11,0,10.87
285,Ilulissat,GL,2022-03-12 23:25:14,69.2167,-51.1,6.82,61,75,11.5
286,Brae,GB,2022-03-12 23:25:15,60.3964,-1.353,45.14,88,72,25.9
287,Waingapu,ID,2022-03-12 23:25:15,-9.6567,120.2641,80.1,80,96,3.33
288,Grindavik,IS,2022-03-12 23:25:16,63.8424,-22.4338,32.47,86,75,11.5
289,Carnarvon,AU,2022-03-12 23:25:17,-24.8667,113.6333,73.47,78,0,12.66
290,Sampit,ID,2022-03-12 23:25:18,-2.5333,112.95,74.84,97,87,1.86
291,Tuy Hoa,VN,2022-03-12 23:25:18,13.0833,109.3,69.93,90,74,2.57
292,Talnakh,RU,2022-03-12 23:25:19,69.4865,88.3972,-24.25,97,46,7.63
293,Isangel,VU,2022-03-12 23:25:19,-19.55,169.2667,84.78,69,9,1.48
