,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
133,Georgetown,5.4112,100.3354,80.53,83,20,0.0,MY,2022-03-28 00:05:57,few clouds
134,Encruzilhada Do Sul,-30.5439,-52.5219,62.19,63,2,4.38,BR,2022-03-28 00:06:43,clear sky
135,Salalah,17.0151,54.0924,75.29,50,0,4.61,OM,2022-03-28 00:05:04,clear sky
136,Narsaq,60.9167,-46.05,41.22,67,81,7.83,GL,2022-03-28 00:06:44,broken clouds
137,Bonthe,7.5264,-12.505,78.13,85,76,3.87,SL,2022-03-28 00:06:44,broken clouds
138,Chuy,-33.6971,-53.4616,62.73,73,0,1.32,UY,2022-03-28 00:05:44,clear sky
139,Vanimo,-2.6741,141.3028,85.01,65,90,4.45,PG,2022-03-28 00:07:45,overcast clouds
140,Flinders,-34.5833,150.8552,70.25,90,94,9.1,AU,2022-03-28 00:07:46,overcast clouds
141,Bay-Khaak,51.1667,94.5,11.82,93,93,3.33,RU,2022-03-28 00:07:46,overcast clouds
142,Egvekinot,66.3167,-179.1667,4.78,85,9,0.4,RU,2022-03-28 00:07:47,clear sky
143,Ilulissat,69.2167,-51.1,20.48,64,59,9.51,GL,2022-03-28 00:04:22,broken clouds
144,Ust-Maya,60.4167,134.5333,9.48,94,100,3.89,RU,2022-03-28 00:07:48,overcast clouds
145,Yei,4.095,30.6779,70.02,84,100,4.5,SS,2022-03-28 00:07:48,overcast clouds
146,Kutum,14.2,24.6667,61.05,10,0,15.17,SD,2022-03-28 00:07:49,clear sky
147,San Patricio,28.017,-97.5169,78.19,54,83,15.99,US,2022-03-28 00:07:49,broken clouds
148,Port Alfred,-33.5906,26.891,64.18,93,99,1.01,ZA,2022-03-28 00:07:50,overcast clouds
149,Playa Vicente,17.8333,-95.8167,83.64,21,55,7.05,MX,2022-03-28 00:07:51,broken clouds
150,Korla,41.7597,86.1469,47.25,25,85,12.41,CN,2022-03-28 00:07:51,overcast clouds
151,Kharp,66.8014,65.8081,15.12,96,100,9.26,RU,2022-03-28 00:07:52,snow
152,Vostok,46.4856,135.8833,25.38,88,100,7.76,RU,2022-03-28 00:07:52,light snow
153,San Carlos De Bariloche,-41.1456,-71.3082,47.95,53,40,12.66,AR,2022-03-28 00:07:53,scattered clouds
154,Aron,24.3833,77.4167,76.66,14,5,6.11,IN,2022-03-28 00:07:53,clear sky
155,Castro,-24.7911,-50.0119,63.03,82,5,1.07,BR,2022-03-28 00:07:54,clear sky
156,Ola,59.5833,151.2833,14.81,67,100,10.85,RU,2022-03-28 00:07:54,overcast clouds
157,Brigantine,39.4101,-74.3646,38.05,44,75,23.02,US,2022-03-28 00:07:55,broken clouds
158,Kavieng,-2.5744,150.7967,84.11,70,84,9.19,PG,2022-03-28 00:07:11,broken clouds
159,Batouri,4.4333,14.3667,72.46,32,45,2.91,CM,2022-03-28 00:07:56,scattered clouds
160,Port Hedland,-20.3167,118.5667,86.05,66,98,10.36,AU,2022-03-28 00:07:57,overcast clouds
161,Soyo,-6.1349,12.3689,80.73,90,100,9.78,AO,2022-03-28 00:07:57,overcast clouds
162,Tayuman,14.5142,121.1622,86.14,68,94,5.06,PH,2022-03-28 00:07:58,overcast clouds
163,Sao Jose De Piranhas,-7.1206,-38.5019,73.27,92,90,3.71,BR,2022-03-28 00:07:58,moderate rain
164,Peleduy,59.6289,112.7406,11.41,93,97,7.36,RU,2022-03-28 00:07:59,overcast clouds
165,North Bend,43.4065,-124.2243,57.92,91,40,4.61,US,2022-03-28 00:08:00,scattered clouds
166,Kumluca,36.3703,30.2869,55.54,43,0,7.25,TR,2022-03-28 00:08:00,clear sky
