,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
573,Bikaner,IN,78.57,clear sky,28.0167,73.3,The Laxmi Niwas Palace
575,Leopold,AU,73.06,overcast clouds,-38.1833,144.4667,Avila Vista
576,Ulundi,ZA,65.35,overcast clouds,-28.3352,31.4162,Ekhethelo Lodge Ulundi
578,Barranca,PE,71.42,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
579,Kandrian,PG,86.79,overcast clouds,-6.2167,149.55,Kandrian Station
580,Awash,ET,71.71,broken clouds,8.9833,40.1667,Kediga hotel
581,Saint-Joseph,RE,77.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
585,Khartoum,SD,76.01,few clouds,15.5518,32.5324,Hotel China
586,Iquique,CL,67.26,few clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
587,Santa Cruz,BO,69.26,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
590,Fallon,US,75.07,broken clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
591,Santa Helena De Goias,BR,71.83,overcast clouds,-17.8136,-50.5969,Hotel Cana Verde
592,Champerico,GT,82.99,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
594,Loma Bonita,PA,81.79,overcast clouds,8.3833,-80.1667,Posada Acuarela Farallón (Panamá)
597,Campo Maior,BR,74.08,heavy intensity rain,-4.8278,-42.1686,Elite Hotel
601,Maraba,BR,77.18,thunderstorm,-5.3686,-49.1178,Hotel Del Principe
602,Myitkyina,MM,64.0,clear sky,25.3833,97.4,Shwe Phyu Hotel
608,Atambua,ID,77.09,broken clouds,-9.1061,124.8925,Kost Alfa Flat
611,Ixtapa,MX,74.43,clear sky,20.7,-105.2,hotel la terminal
612,Katobu,ID,79.56,overcast clouds,-4.9408,122.5276,La Ode Husein
614,Anjozorobe,MG,62.89,broken clouds,-18.4,47.8667,Mandritsara
615,Ruteng,ID,68.61,overcast clouds,-8.6136,120.4721,Hotel FX 72
